,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT5G66675,277.2971664,0.80083205,0.131237199,6.102172664,1.05E-09,4.52E-08,yes
AT2G44290,156.1687079,0.777395759,0.127483417,6.098014772,1.07E-09,4.61E-08,yes
AT5G07620,84.30537599,1.270806969,0.208543639,6.093722044,1.10E-09,4.73E-08,yes
AT3G17770,588.5148243,0.600002636,0.098482232,6.092496337,1.11E-09,4.76E-08,yes
AT1G74870,22.13902615,0.7830441,0.128678293,6.085285101,1.16E-09,4.97E-08,yes
AT3G57260,37.80224676,2.663305732,0.43852514,6.073325086,1.25E-09,5.34E-08,yes
AT4G33300,842.0242711,0.813348084,0.133949821,6.07203564,1.26E-09,5.37E-08,yes
AT1G01010,167.1481036,0.716972361,0.118184671,6.066542774,1.31E-09,5.55E-08,yes
AT1G71100,284.2390738,0.270135531,0.044537651,6.065329563,1.32E-09,5.58E-08,yes
AT2G28570,56.80685421,1.12381222,0.185308052,6.064562279,1.32E-09,5.60E-08,yes
AT5G57015,430.0136124,0.248841649,0.041038903,6.063555056,1.33E-09,5.62E-08,yes
AT4G01540,118.7768417,0.63386657,0.104577543,6.061211152,1.35E-09,5.70E-08,yes
AT2G25370,3.725572467,2.315470419,0.382102622,6.059812954,1.36E-09,5.74E-08,yes
AT5G13510,3570.23,-0.213531083,0.035245222,-6.058440522,1.37E-09,5.77E-08,yes
AT5G55450,114.2930504,1.837009088,0.303205447,6.05862826,1.37E-09,5.77E-08,yes
AT3G60160,127.458115,1.036514273,0.171136642,6.05664725,1.39E-09,5.82E-08,yes
AT5G47120,1024.445828,0.369690741,0.061069877,6.053569418,1.42E-09,5.92E-08,yes
AT5G26030,1064.591259,0.532410099,0.08796393,6.05259564,1.43E-09,5.95E-08,yes
