,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AT1G70440,35.07871721,-2.808423846,0.497086686,-5.649766786,1.61E-08,3.13E-06,yes
AT4G22910,218.966596,-0.791002074,0.140066829,-5.647319058,1.63E-08,3.15E-06,yes
AT1G62730,143.9198884,-1.278780913,0.227082992,-5.631337252,1.79E-08,3.43E-06,yes
AT1G80850,202.4438913,-1.106156823,0.196671434,-5.624389882,1.86E-08,3.54E-06,yes
AT1G21528,21.56467136,-4.450034997,0.791429589,-5.62278067,1.88E-08,3.54E-06,yes
AT5G11100,82.30575283,-0.990944093,0.176412444,-5.617200652,1.94E-08,3.63E-06,yes
AT4G33160,123.3692347,-1.545279455,0.277283109,-5.57293035,2.50E-08,4.65E-06,yes
AT5G63970,133.7891033,-0.71601188,0.128826096,-5.557972374,2.73E-08,5.03E-06,yes
AT1G02520,326.6748703,-1.581405955,0.285691184,-5.535368404,3.11E-08,5.68E-06,yes
AT1G28410,243.7534264,-1.136799565,0.207579416,-5.476456119,4.34E-08,7.87E-06,yes
AT1G21090,149.3053195,0.836693764,0.152831175,5.474627565,4.38E-08,7.89E-06,yes
AT5G66120,1613.037836,-0.680852935,0.124562786,-5.46594179,4.60E-08,8.22E-06,yes
AT1G66810,54.75673111,-1.680876445,0.307836624,-5.460287425,4.75E-08,8.40E-06,yes
AT1G75830,7.580510752,-4.101738035,0.751295344,-5.459554711,4.77E-08,8.40E-06,yes
AT1G72790,293.3454987,-1.578751807,0.289519376,-5.453009157,4.95E-08,8.65E-06,yes
AT5G15540,851.7294114,-1.485750271,0.273118807,-5.439941265,5.33E-08,9.24E-06,yes
AT3G15240,184.2994282,-1.220916582,0.224694223,-5.433680339,5.52E-08,9.50E-06,yes
AT5G47950,155.9259947,-1.480875741,0.273163169,-5.421213062,5.92E-08,1.01E-05,yes
AT3G56920,10.28964075,-4.322619536,0.797699635,-5.418856101,6.00E-08,1.02E-05,yes
AT4G01450,576.9159586,-0.941447263,0.173985835,-5.41105695,6.27E-08,1.05E-05,yes
AT4G22250,108.0599049,-1.580055325,0.293587599,-5.381887143,7.37E-08,1.23E-05,yes
AT1G15580,35.18466712,-2.529164736,0.470234446,-5.378518652,7.51E-08,1.25E-05,yes
